dataset,model,n_models,n_pairs,n_reference_samples,spearman_mean,spearman_std,jaccard5_mean,jaccard5_std,jaccard10_mean,jaccard10_std,status,source
Edge-IIoT,RF,50,1225,500,0.971972,0.007857,0.788976,0.055852,0.846766,0.029783,true_pairwise_from_model_checkpoints,model_checkpoints:checkpoints
CIC-IDS-2017,RF,50,1225,500,0.966084,0.004286,0.728227,0.048927,0.700078,0.034933,true_pairwise_from_model_checkpoints,model_checkpoints:checkpoints
Edge-IIoT,ET,50,1225,500,0.974184,0.007834,0.791653,0.059016,0.855559,0.034019,true_pairwise_from_model_checkpoints,model_checkpoints:checkpoints
CIC-IDS-2017,ET,50,1225,500,0.970404,0.003897,0.697477,0.04268,0.743611,0.029105,true_pairwise_from_model_checkpoints,model_checkpoints:checkpoints
Edge-IIoT,DT,50,1225,500,0.869324,0.050007,0.801935,0.038017,0.748886,0.074853,true_pairwise_from_model_checkpoints,model_checkpoints:checkpoints
CIC-IDS-2017,DT,50,1225,500,0.7432,0.044217,0.724705,0.039726,0.545381,0.041426,true_pairwise_from_model_checkpoints,model_checkpoints:checkpoints
Edge-IIoT,XGB,50,1225,500,0.988413,0.010743,0.921637,0.024424,0.911588,0.014641,true_pairwise_from_model_checkpoints,model_checkpoints:checkpoints
CIC-IDS-2017,XGB,50,1225,500,0.988061,0.001801,0.895831,0.024344,0.866394,0.019108,true_pairwise_from_model_checkpoints,model_checkpoints:checkpoints
Edge-IIoT,LGBM,50,1225,500,0.976034,0.011726,0.937075,0.014875,0.925864,0.019613,true_pairwise_from_model_checkpoints,model_checkpoints:checkpoints
CIC-IDS-2017,LGBM,50,1225,500,0.966127,0.005175,0.816947,0.030535,0.731087,0.03122,true_pairwise_from_model_checkpoints,model_checkpoints:checkpoints
Edge-IIoT,CB,50,1225,500,0.82545,0.048251,0.545282,0.098176,0.755321,0.054476,true_pairwise_from_model_checkpoints,model_checkpoints:checkpoints
CIC-IDS-2017,CB,50,1225,500,0.917703,0.011935,0.707006,0.043694,0.587789,0.040945,true_pairwise_from_model_checkpoints,model_checkpoints:checkpoints
Edge-IIoT,LR,50,1225,500,0.999019,0.000716,0.982876,0.011019,0.970399,0.021091,true_pairwise_from_model_checkpoints,model_checkpoints:checkpoints
CIC-IDS-2017,LR,50,1225,500,0.995448,0.005662,0.934373,0.063234,0.950889,0.053205,true_pairwise_from_model_checkpoints,model_checkpoints:checkpoints
Edge-IIoT,DNN,50,1225,100,0.972481,0.002387,0.661213,0.039834,0.792221,0.022879,true_pairwise_from_saved_shap_arrays,saved_shap_arrays:rq2_dnn_edge.pkl
CIC-IDS-2017,DNN,50,1225,100,0.931614,0.005436,0.627655,0.033047,0.675501,0.018921,true_pairwise_from_saved_shap_arrays,saved_shap_arrays:rq2_dnn_cic.pkl
Edge-IIoT,LSTM,50,1225,100,0.945912,0.00491,0.336432,0.049021,0.484134,0.036503,true_pairwise_from_saved_shap_arrays,saved_shap_arrays:rq2_lstm_edge.pkl
CIC-IDS-2017,LSTM,50,1225,100,0.825369,0.014978,0.429089,0.040212,0.490011,0.032104,true_pairwise_from_saved_shap_arrays,saved_shap_arrays:rq2_lstm_cic.pkl
