dataset,model,shap_delta_f1,lime_delta_f1,random_delta_f1,least_important_delta_f1,shap_random_ratio
Edge-IIoT,RF,0.4811,0.0854,0.0869,0.0000,5.5
Edge-IIoT,ET,0.3767,0.0943,0.0716,0.0000,5.3
Edge-IIoT,DT,0.7644,0.0094,0.3318,0.0000,2.3
Edge-IIoT,XGB,0.6061,0.1435,0.2387,0.0000,2.5
Edge-IIoT,LGBM,0.5948,0.1555,0.1762,0.0000,3.4
Edge-IIoT,CB,0.7917,0.0369,0.1405,0.0000,5.6
Edge-IIoT,LR,0.1793,0.0190,0.0608,0.0000,2.9
Edge-IIoT,DNN,0.6313,0.2179,0.1247,0.0000,5.1
Edge-IIoT,LSTM,0.6837,0.2152,0.2951,-0.0003,2.3
CIC-IDS-2017,RF,0.4992,0.2635,0.0093,0.0000,53.9
CIC-IDS-2017,ET,0.2151,0.0379,0.0121,0.0000,17.8
CIC-IDS-2017,DT,0.9049,0.8419,0.1453,0.0000,6.2
CIC-IDS-2017,XGB,0.6934,0.4950,0.0290,0.0000,23.9
CIC-IDS-2017,LGBM,0.8279,0.5068,0.0537,0.0000,15.4
CIC-IDS-2017,CB,0.8359,0.3405,0.0200,0.0000,41.7
CIC-IDS-2017,LR,0.0890,0.1101,0.0158,0.0000,5.6
CIC-IDS-2017,DNN,0.6304,0.1223,0.0365,0.0000,17.3
CIC-IDS-2017,LSTM,0.7073,0.3563,0.2520,0.0000,2.8
